Latitude,Longitude,Discharge Location,geometry,Start Date,End Date,Event Type,Approximate Discharge Volume,Volume Recovered,Notes,Start Time,End Time,Status,Date Range,Date Range(90 Days),Approximate Discharge Volume Value,Icons
32.5476,-117.088374,Hollister Street Pump Station,POINT (-117.088374 32.5476),06/17/2024,06/17/2024,Spill Event,"302,000 gallons","48,000 gallons",Spill Event was due to operational failure at Hollister Street Pump Station.,2024-06-17T00:00:00,2024-06-17T00:00:00,Completed,2024-06-17T00:00:00/2024-06-17T00:00:00,2025-12-20T19:36:05/2024-06-17T00:00:00,302000.0,chart-area
32.5377,-117.08623,Smuggler's Gulch,POINT (-117.08623 32.5377),06/17/2024,09/16/2024,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,17.7 million gallons,,Transboundary flows were due to Hollister Street Pump Station failure.,2024-06-17T00:00:00,2024-09-16T00:00:00,Completed,2024-06-17T00:00:00/2024-09-16T00:00:00,2025-12-20T19:36:05/2024-09-16T00:00:00,17700000.0,chart-area
32.5369,-117.09916,Goat Canyon,POINT (-117.09916 32.5369),06/17/2024,09/16/2024,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,40.4 million gallons,,Transboundary flows were due to Hollister Street Pump Station failure.,2024-06-17T00:00:00,2024-09-16T00:00:00,Completed,2024-06-17T00:00:00/2024-09-16T00:00:00,2025-12-20T19:36:05/2024-09-16T00:00:00,40400000.0,chart-area
32.5377,-117.08623,Smuggler's Gulch,POINT (-117.08623 32.5377),09/23/2024,10/29/2024,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,3.4 million gallons,,Transboundary flows were due to excessive sediment loading from Mexico.,2024-09-23T00:00:00,2024-10-29T00:00:00,Completed,2024-09-23T00:00:00/2024-10-29T00:00:00,2025-12-20T19:36:05/2024-10-29T00:00:00,3400000.0,chart-area
32.5476,-117.088374,Hollister Street Pump Station,POINT (-117.088374 32.5476),01/01/2025,01/02/2025,Spill Event,"30,000 gallons","22,000 gallons",Spill Event due to operational failure at Hollister Street Pump Station.,2025-01-01T00:00:00,2025-01-02T00:00:00,Completed,2025-01-01T00:00:00/2025-01-02T00:00:00,2025-12-20T19:36:05/2025-01-02T00:00:00,30000.0,chart-area
32.5377,-117.08623,Smuggler's Gulch,POINT (-117.08623 32.5377),01/02/2025,01/23/2025,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,3 million gallons,,Transboundary flows were due to Hollister Street Pump Station failure.,2025-01-02T00:00:00,2025-01-23T00:00:00,Completed,2025-01-02T00:00:00/2025-01-23T00:00:00,2025-12-20T19:36:05/2025-01-23T00:00:00,3000000.0,chart-area
32.5369,-117.09916,Goat Canyon,POINT (-117.09916 32.5369),01/02/2025,01/23/2025,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,1.1 million gallons,,Transboundary flows were due to Hollister Street Pump Station failure.,2025-01-02T00:00:00,2025-01-23T00:00:00,Completed,2025-01-02T00:00:00/2025-01-23T00:00:00,2025-12-20T19:36:05/2025-01-23T00:00:00,1100000.0,chart-area
32.543476,-117.108026,Goat Canyon Pump Station,POINT (-117.108026 32.543476),01/26/2025,01/26/2025,Spill Event,"10,000 gallons",,"Spill Event was due to storm water flows containing excessive flow, sediment, and trash from Mexico.",2025-01-26T00:00:00,2025-01-26T00:00:00,Completed,2025-01-26T00:00:00/2025-01-26T00:00:00,2025-12-20T19:36:05/2025-01-26T00:00:00,10000.0,chart-area
32.539743,-117.064269,Silva Drain,POINT (-117.064269 32.539743),03/21/2025,05/21/2025,Spill Event and Transboundary Flow Event,1.7 million gallons,1.61 million gallons,Spill Event was due to a ruptured drain line between Silva Drain and Junction Box 2.,2025-03-21T00:00:00,2025-05-21T00:00:00,Completed,2025-03-21T00:00:00/2025-05-21T00:00:00,2025-12-20T19:36:05/2025-05-21T00:00:00,1700000.0,chart-area
32.543476,-117.108026,Goat Canyon Pump Station,POINT (-117.108026 32.543476),04/26/2025,04/26/2025,Spill Event,900 gallons,250 gallons,Spill Event was due to excessive flows from Mexico.,2025-04-26T00:00:00,2025-04-26T00:00:00,Completed,2025-04-26T00:00:00/2025-04-26T00:00:00,2025-12-20T19:36:05/2025-04-26T00:00:00,900.0,chart-area
32.5393,-117.06885,Del Sol Canyon Collector,POINT (-117.06885 32.5393),06/15/2025,11/19/2025,Spill Event and Transboundary Flow Event,"41,105 gallons",,Spill Event was due to a leak at a drinking water line in Mexico and a partially clogged conveyance line from the Del Sol Canyon Collector.,2025-06-15T00:00:00,2025-11-19T00:00:00,Completed,2025-06-15T00:00:00/2025-11-19T00:00:00,2025-12-20T19:36:05/2025-11-19T00:00:00,41105.0,chart-area
32.5377,-117.08623,Smuggler's Gulch,POINT (-117.08623 32.5377),12/2/2025,12/2/2025,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,"120,000 gallons",,"Transboundary flows were caused by a ruptured pipeline in Matadero Canyon in Tijuana. The Smuggler’s Gulch Canyon collector was offline for maintenance, and flows from Mexico exceeded the capacity of USIBWC’s vacuum trucks.",2025-12-02T00:00:00,2025-12-02T00:00:00,Completed,2025-12-02T00:00:00/2025-12-02T00:00:00,2025-12-20T19:36:05/2025-12-02T00:00:00,120000.0,chart-area
32.54064,-117.05801,Stewart's Drain,POINT (-117.05801 32.54064),2/10/2026,2/10/2026,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,"36,000 gallons","6,000  gallons",Transboundary flows were caused by rupture in JB-1 bypass pipeline and overflow from PB-1 in Mexico. Flows exceeded the capacity of USIBWC’s backup pumps in Stewart’s Drain.,2026-02-10T00:00:00,2026-02-10T00:00:00,Completed,2026-02-10T00:00:00/2026-02-10T00:00:00,2026-02-10T00:00:00/2026-02-10T00:00:00,36000.0,chart-area
32.54064,-117.05801,Stewart's Drain,POINT (-117.05801 32.54064),3/14/2026,3/15/2026,Spill Event and Dry Weather Canyon Collector Transboundary Flow Event,"45,350 gallons",,"Transboundary flows were caused by an outage at PB-1 in Mexico, upstream of Stewart’s Drain. Flows exceeded the capacity of USIBWC’s backup pumps in Stewart’s Drain.",2026-03-14T00:00:00,2026-03-15T00:00:00,Completed,2026-03-14T00:00:00/2026-03-15T00:00:00,2026-03-14T00:00:00/2026-03-15T00:00:00,45350
