time,predicted_ppb,predicted_category
2026-04-09T20:30:00+0000,34.685,orange
2026-04-09T20:45:00+0000,34.411,orange
2026-04-09T21:00:00+0000,29.47,yellow_high
2026-04-09T21:15:00+0000,31.492,orange
2026-04-09T21:30:00+0000,24.286,yellow_high
2026-04-09T21:45:00+0000,22.915,yellow_high
2026-04-09T22:00:00+0000,19.477,yellow_high
2026-04-09T22:15:00+0000,24.953,yellow_high
2026-04-09T22:30:00+0000,24.557,yellow_high
2026-04-09T22:45:00+0000,23.259,yellow_high
2026-04-09T23:00:00+0000,11.105,yellow_high
2026-04-09T23:15:00+0000,16.903,yellow_high
2026-04-09T23:30:00+0000,14.563,yellow_high
2026-04-09T23:45:00+0000,13.418,yellow_high
2026-04-10T00:00:00+0000,18.499,yellow_high
2026-04-10T00:15:00+0000,9.961,yellow_low
2026-04-10T00:30:00+0000,10.529,yellow_high
2026-04-10T00:45:00+0000,9.341,yellow_low
2026-04-10T01:00:00+0000,12.587,yellow_high
2026-04-10T01:15:00+0000,12.917,yellow_high
2026-04-10T01:30:00+0000,11.53,yellow_high
2026-04-10T01:45:00+0000,8.021,yellow_low
2026-04-10T02:00:00+0000,13.305,yellow_high
2026-04-10T02:15:00+0000,10.588,yellow_high
2026-04-10T02:30:00+0000,9.72,yellow_low
2026-04-10T02:45:00+0000,9.005,yellow_low
2026-04-10T03:00:00+0000,5.812,yellow_low
2026-04-10T03:15:00+0000,5.768,yellow_low
2026-04-10T03:30:00+0000,5.699,yellow_low
2026-04-10T03:45:00+0000,5.435,yellow_low
2026-04-10T04:00:00+0000,4.694,green
2026-04-10T04:15:00+0000,4.254,green
2026-04-10T04:30:00+0000,4.381,green
2026-04-10T04:45:00+0000,3.518,green
2026-04-10T05:00:00+0000,4.125,green
2026-04-10T05:15:00+0000,2.707,green
2026-04-10T05:30:00+0000,1.087,green
2026-04-10T05:45:00+0000,2.624,green
2026-04-10T06:00:00+0000,2.631,green
2026-04-10T06:15:00+0000,11.455,yellow_high
2026-04-10T06:30:00+0000,2.612,green
2026-04-10T06:45:00+0000,1.936,green
2026-04-10T07:00:00+0000,1.378,green
2026-04-10T07:15:00+0000,2.604,green
2026-04-10T07:30:00+0000,2.366,green
2026-04-10T07:45:00+0000,2.003,green
2026-04-10T08:00:00+0000,1.312,green
2026-04-10T08:15:00+0000,1.435,green
2026-04-10T08:30:00+0000,1.355,green
2026-04-10T08:45:00+0000,1.165,green
2026-04-10T09:00:00+0000,1.782,green
2026-04-10T09:15:00+0000,1.596,green
2026-04-10T09:30:00+0000,1.392,green
2026-04-10T09:45:00+0000,1.107,green
2026-04-10T10:00:00+0000,1.838,green
2026-04-10T10:15:00+0000,1.691,green
2026-04-10T10:30:00+0000,1.635,green
2026-04-10T10:45:00+0000,1.992,green
2026-04-10T11:00:00+0000,0.897,green
2026-04-10T11:15:00+0000,1.435,green
2026-04-10T11:30:00+0000,0.261,green
2026-04-10T11:45:00+0000,1.424,green
2026-04-10T12:00:00+0000,0.0,green
2026-04-10T12:15:00+0000,0.85,green
2026-04-10T12:30:00+0000,0.902,green
2026-04-10T12:45:00+0000,1.371,green
2026-04-10T13:00:00+0000,1.215,green
2026-04-10T13:15:00+0000,1.586,green
2026-04-10T13:30:00+0000,1.381,green
2026-04-10T13:45:00+0000,0.808,green
2026-04-10T14:00:00+0000,0.572,green
2026-04-10T14:15:00+0000,1.153,green
2026-04-10T14:30:00+0000,1.558,green
2026-04-10T14:45:00+0000,0.77,green
2026-04-10T15:00:00+0000,1.868,green
2026-04-10T15:15:00+0000,1.506,green
2026-04-10T15:30:00+0000,0.986,green
2026-04-10T15:45:00+0000,0.595,green
2026-04-10T16:00:00+0000,1.495,green
2026-04-10T16:15:00+0000,1.477,green
2026-04-10T16:30:00+0000,0.0,green
2026-04-10T16:45:00+0000,1.551,green
2026-04-10T17:00:00+0000,1.543,green
2026-04-10T17:15:00+0000,0.313,green
2026-04-10T17:30:00+0000,1.903,green
2026-04-10T17:45:00+0000,1.543,green
2026-04-10T18:00:00+0000,1.371,green
2026-04-10T18:15:00+0000,0.301,green
2026-04-10T18:30:00+0000,0.554,green
2026-04-10T18:45:00+0000,0.565,green
2026-04-10T19:00:00+0000,0.547,green
2026-04-10T19:15:00+0000,0.555,green
2026-04-10T19:30:00+0000,0.466,green
2026-04-10T19:45:00+0000,0.545,green
2026-04-10T20:00:00+0000,0.579,green
2026-04-10T20:15:00+0000,0.518,green
2026-04-10T20:30:00+0000,0.521,green
2026-04-10T20:45:00+0000,0.521,green
2026-04-10T21:00:00+0000,0.525,green
2026-04-10T21:15:00+0000,0.525,green
2026-04-10T21:30:00+0000,0.525,green
2026-04-10T21:45:00+0000,0.47,green
2026-04-10T22:00:00+0000,0.512,green
2026-04-10T22:15:00+0000,0.512,green
2026-04-10T22:30:00+0000,0.512,green
2026-04-10T22:45:00+0000,0.574,green
2026-04-10T23:00:00+0000,0.595,green
2026-04-10T23:15:00+0000,0.593,green
2026-04-10T23:30:00+0000,0.598,green
2026-04-10T23:45:00+0000,0.521,green
2026-04-11T00:00:00+0000,0.572,green
2026-04-11T00:15:00+0000,0.505,green
2026-04-11T00:30:00+0000,0.433,green
2026-04-11T00:45:00+0000,0.407,green
2026-04-11T01:00:00+0000,0.548,green
2026-04-11T01:15:00+0000,0.565,green
2026-04-11T01:30:00+0000,0.589,green
2026-04-11T01:45:00+0000,0.726,green
2026-04-11T02:00:00+0000,0.618,green
2026-04-11T02:15:00+0000,0.68,green
2026-04-11T02:30:00+0000,0.68,green
2026-04-11T02:45:00+0000,0.721,green
2026-04-11T03:00:00+0000,0.683,green
2026-04-11T03:15:00+0000,1.432,green
2026-04-11T03:30:00+0000,1.173,green
2026-04-11T03:45:00+0000,1.179,green
2026-04-11T04:00:00+0000,1.252,green
2026-04-11T04:15:00+0000,1.014,green
2026-04-11T04:30:00+0000,1.068,green
2026-04-11T04:45:00+0000,0.927,green
2026-04-11T05:00:00+0000,0.965,green
2026-04-11T05:15:00+0000,0.992,green
2026-04-11T05:30:00+0000,0.951,green
2026-04-11T05:45:00+0000,1.142,green
2026-04-11T06:00:00+0000,0.441,green
2026-04-11T06:15:00+0000,0.678,green
2026-04-11T06:30:00+0000,0.554,green
2026-04-11T06:45:00+0000,0.465,green
2026-04-11T07:00:00+0000,0.702,green
2026-04-11T07:15:00+0000,0.583,green
2026-04-11T07:30:00+0000,0.385,green
2026-04-11T07:45:00+0000,0.654,green
2026-04-11T08:00:00+0000,0.821,green
2026-04-11T08:15:00+0000,0.505,green
2026-04-11T08:30:00+0000,0.451,green
2026-04-11T08:45:00+0000,0.539,green
2026-04-11T09:00:00+0000,0.748,green
2026-04-11T09:15:00+0000,0.952,green
2026-04-11T09:30:00+0000,0.804,green
2026-04-11T09:45:00+0000,1.207,green
2026-04-11T10:00:00+0000,1.201,green
2026-04-11T10:15:00+0000,0.868,green
2026-04-11T10:30:00+0000,1.015,green
2026-04-11T10:45:00+0000,1.023,green
2026-04-11T11:00:00+0000,1.006,green
2026-04-11T11:15:00+0000,0.976,green
2026-04-11T11:30:00+0000,1.049,green
2026-04-11T11:45:00+0000,0.985,green
2026-04-11T12:00:00+0000,1.067,green
2026-04-11T12:15:00+0000,1.085,green
2026-04-11T12:30:00+0000,1.088,green
2026-04-11T12:45:00+0000,0.909,green
2026-04-11T13:00:00+0000,0.95,green
2026-04-11T13:15:00+0000,1.053,green
2026-04-11T13:30:00+0000,1.092,green
2026-04-11T13:45:00+0000,1.068,green
2026-04-11T14:00:00+0000,1.01,green
2026-04-11T14:15:00+0000,1.008,green
2026-04-11T14:30:00+0000,1.001,green
2026-04-11T14:45:00+0000,0.937,green
2026-04-11T15:00:00+0000,0.848,green
2026-04-11T15:15:00+0000,0.95,green
2026-04-11T15:30:00+0000,0.32,green
2026-04-11T15:45:00+0000,0.382,green
2026-04-11T16:00:00+0000,0.409,green
2026-04-11T16:15:00+0000,0.391,green
2026-04-11T16:30:00+0000,0.442,green
2026-04-11T16:45:00+0000,0.416,green
2026-04-11T17:00:00+0000,0.489,green
2026-04-11T17:15:00+0000,0.49,green
2026-04-11T17:30:00+0000,0.526,green
2026-04-11T17:45:00+0000,0.514,green
2026-04-11T18:00:00+0000,0.514,green
2026-04-11T18:15:00+0000,0.961,green
2026-04-11T18:30:00+0000,0.52,green
2026-04-11T18:45:00+0000,0.516,green
2026-04-11T19:00:00+0000,0.516,green
2026-04-11T19:15:00+0000,0.567,green
2026-04-11T19:30:00+0000,0.571,green
2026-04-11T19:45:00+0000,0.54,green
2026-04-11T20:00:00+0000,0.465,green
2026-04-11T20:15:00+0000,0.461,green
