time,predicted_ppb,predicted_category
2026-04-09T20:30:00+0000,6.067,yellow_low
2026-04-09T20:45:00+0000,5.913,yellow_low
2026-04-09T21:00:00+0000,3.491,green
2026-04-09T21:15:00+0000,1.811,green
2026-04-09T21:30:00+0000,3.947,green
2026-04-09T21:45:00+0000,0.131,green
2026-04-09T22:00:00+0000,0.0,green
2026-04-09T22:15:00+0000,0.0,green
2026-04-09T22:30:00+0000,5.295,yellow_low
2026-04-09T22:45:00+0000,8.569,yellow_low
2026-04-09T23:00:00+0000,6.824,yellow_low
2026-04-09T23:15:00+0000,11.392,yellow_high
2026-04-09T23:30:00+0000,9.395,yellow_low
2026-04-09T23:45:00+0000,7.33,yellow_low
2026-04-10T00:00:00+0000,6.952,yellow_low
2026-04-10T00:15:00+0000,3.652,green
2026-04-10T00:30:00+0000,3.782,green
2026-04-10T00:45:00+0000,3.767,green
2026-04-10T01:00:00+0000,3.726,green
2026-04-10T01:15:00+0000,1.542,green
2026-04-10T01:30:00+0000,1.366,green
2026-04-10T01:45:00+0000,2.774,green
2026-04-10T02:00:00+0000,3.698,green
2026-04-10T02:15:00+0000,5.491,yellow_low
2026-04-10T02:30:00+0000,4.397,green
2026-04-10T02:45:00+0000,4.242,green
2026-04-10T03:00:00+0000,4.284,green
2026-04-10T03:15:00+0000,2.927,green
2026-04-10T03:30:00+0000,6.851,yellow_low
2026-04-10T03:45:00+0000,6.568,yellow_low
2026-04-10T04:00:00+0000,6.864,yellow_low
2026-04-10T04:15:00+0000,6.473,yellow_low
2026-04-10T04:30:00+0000,2.767,green
2026-04-10T04:45:00+0000,5.68,yellow_low
2026-04-10T05:00:00+0000,3.381,green
2026-04-10T05:15:00+0000,2.923,green
2026-04-10T05:30:00+0000,2.819,green
2026-04-10T05:45:00+0000,1.838,green
2026-04-10T06:00:00+0000,3.093,green
2026-04-10T06:15:00+0000,3.28,green
2026-04-10T06:30:00+0000,2.38,green
2026-04-10T06:45:00+0000,1.828,green
2026-04-10T07:00:00+0000,1.971,green
2026-04-10T07:15:00+0000,1.853,green
2026-04-10T07:30:00+0000,1.679,green
2026-04-10T07:45:00+0000,1.684,green
2026-04-10T08:00:00+0000,1.465,green
2026-04-10T08:15:00+0000,1.367,green
2026-04-10T08:30:00+0000,1.371,green
2026-04-10T08:45:00+0000,1.219,green
2026-04-10T09:00:00+0000,1.238,green
2026-04-10T09:15:00+0000,1.552,green
2026-04-10T09:30:00+0000,1.967,green
2026-04-10T09:45:00+0000,1.169,green
2026-04-10T10:00:00+0000,1.37,green
2026-04-10T10:15:00+0000,2.268,green
2026-04-10T10:30:00+0000,2.871,green
2026-04-10T10:45:00+0000,1.123,green
2026-04-10T11:00:00+0000,0.964,green
2026-04-10T11:15:00+0000,1.182,green
2026-04-10T11:30:00+0000,1.473,green
2026-04-10T11:45:00+0000,1.066,green
2026-04-10T12:00:00+0000,1.122,green
2026-04-10T12:15:00+0000,1.347,green
2026-04-10T12:30:00+0000,1.48,green
2026-04-10T12:45:00+0000,1.351,green
2026-04-10T13:00:00+0000,1.329,green
2026-04-10T13:15:00+0000,1.827,green
2026-04-10T13:30:00+0000,1.403,green
2026-04-10T13:45:00+0000,1.384,green
2026-04-10T14:00:00+0000,1.336,green
2026-04-10T14:15:00+0000,1.221,green
2026-04-10T14:30:00+0000,1.402,green
2026-04-10T14:45:00+0000,0.921,green
2026-04-10T15:00:00+0000,2.043,green
2026-04-10T15:15:00+0000,0.928,green
2026-04-10T15:30:00+0000,1.005,green
2026-04-10T15:45:00+0000,0.918,green
2026-04-10T16:00:00+0000,1.439,green
2026-04-10T16:15:00+0000,0.872,green
2026-04-10T16:30:00+0000,0.945,green
2026-04-10T16:45:00+0000,0.671,green
2026-04-10T17:00:00+0000,0.661,green
2026-04-10T17:15:00+0000,0.664,green
2026-04-10T17:30:00+0000,0.593,green
2026-04-10T17:45:00+0000,0.601,green
2026-04-10T18:00:00+0000,0.575,green
2026-04-10T18:15:00+0000,0.581,green
2026-04-10T18:30:00+0000,0.581,green
2026-04-10T18:45:00+0000,0.555,green
2026-04-10T19:00:00+0000,0.523,green
2026-04-10T19:15:00+0000,0.548,green
2026-04-10T19:30:00+0000,0.542,green
2026-04-10T19:45:00+0000,0.58,green
2026-04-10T20:00:00+0000,0.586,green
2026-04-10T20:15:00+0000,0.586,green
2026-04-10T20:30:00+0000,0.586,green
2026-04-10T20:45:00+0000,0.589,green
2026-04-10T21:00:00+0000,0.589,green
2026-04-10T21:15:00+0000,0.589,green
2026-04-10T21:30:00+0000,0.608,green
2026-04-10T21:45:00+0000,0.608,green
2026-04-10T22:00:00+0000,0.602,green
2026-04-10T22:15:00+0000,0.608,green
2026-04-10T22:30:00+0000,0.608,green
2026-04-10T22:45:00+0000,0.595,green
2026-04-10T23:00:00+0000,0.595,green
