bin,n_hours,median_h2s,complaint_hours,complaints,p_any,lo,hi,rate_per_hour,pct_of_hours
"[0, 1)",5460,0.6,216,250.0,0.03956043956043956,0.03470544773070079,0.04506289694459141,0.045787545787545784,35.52837064029151
"[1, 2)",3797,1.3,255,316.0,0.06715828285488544,0.05962637175768312,0.07556516055979098,0.0832235975770345,24.707183758459134
"[2, 3)",1481,2.4,161,214.0,0.1087103308575287,0.09385743460130262,0.12558792576575603,0.14449696151249156,9.636907860489329
"[3, 5)",1437,3.8,179,248.0,0.12456506610995129,0.10848538129691204,0.1426467348218896,0.17258176757132915,9.350598646538261
"[5, 7)",726,5.8,129,189.0,0.17768595041322313,0.15159825929288742,0.2071667110787658,0.2603305785123967,4.724102030192608
"[7, 10)",612,8.1,133,205.0,0.2173202614379085,0.18646246775642925,0.25170474926820824,0.3349673202614379,3.982300884955752
"[10, 15)",505,11.8,121,183.0,0.2396039603960396,0.20442995239357242,0.2787097908978565,0.36237623762376237,3.2860489328474753
"[15, 20)",282,17.2,75,147.0,0.26595744680851063,0.21778398678656918,0.32042178871986515,0.5212765957446809,1.8349817803227486
"[20, 30)",282,23.95,94,164.0,0.3333333333333333,0.28087776964426314,0.3902687674588037,0.5815602836879432,1.8349817803227486
"[30, 50)",283,39.0,92,170.0,0.3250883392226148,0.2731728228803331,0.381688954490871,0.6007067137809188,1.8414888079125455
"[50, 100)",244,65.44999999999999,121,284.0,0.4959016393442623,0.4337172784108756,0.5582130512835745,1.1639344262295082,1.5877147319104632
"[100, 10000)",259,166.1,166,376.0,0.640926640926641,0.5808334439970315,0.6969003698284817,1.4517374517374517,1.685320145757418
