station,bin,n_hours,median_h2s,complaint_hours,complaints,p_any,lo,hi,rate_per_hour,pct_of_hours
NESTOR - BES,"[0, 1)",5460,0.6,216,250.0,0.03956043956043956,0.03470544773070079,0.04506289694459141,0.045787545787545784,35.52837064029151
NESTOR - BES,"[1, 2)",3797,1.3,255,316.0,0.06715828285488544,0.05962637175768312,0.07556516055979098,0.0832235975770345,24.707183758459134
NESTOR - BES,"[2, 3)",1481,2.4,161,214.0,0.1087103308575287,0.09385743460130262,0.12558792576575603,0.14449696151249156,9.636907860489329
NESTOR - BES,"[3, 5)",1437,3.8,179,248.0,0.12456506610995129,0.10848538129691204,0.1426467348218896,0.17258176757132915,9.350598646538261
NESTOR - BES,"[5, 7)",726,5.8,129,189.0,0.17768595041322313,0.15159825929288742,0.2071667110787658,0.2603305785123967,4.724102030192608
NESTOR - BES,"[7, 10)",612,8.1,133,205.0,0.2173202614379085,0.18646246775642925,0.25170474926820824,0.3349673202614379,3.982300884955752
NESTOR - BES,"[10, 15)",505,11.8,121,183.0,0.2396039603960396,0.20442995239357242,0.2787097908978565,0.36237623762376237,3.2860489328474753
NESTOR - BES,"[15, 20)",282,17.2,75,147.0,0.26595744680851063,0.21778398678656918,0.32042178871986515,0.5212765957446809,1.8349817803227486
NESTOR - BES,"[20, 30)",282,23.95,94,164.0,0.3333333333333333,0.28087776964426314,0.3902687674588037,0.5815602836879432,1.8349817803227486
NESTOR - BES,"[30, 50)",283,39.0,92,170.0,0.3250883392226148,0.2731728228803331,0.381688954490871,0.6007067137809188,1.8414888079125455
NESTOR - BES,"[50, 100)",244,65.44999999999999,121,284.0,0.4959016393442623,0.4337172784108756,0.5582130512835745,1.1639344262295082,1.5877147319104632
NESTOR - BES,"[100, 10000)",259,166.1,166,376.0,0.640926640926641,0.5808334439970315,0.6969003698284817,1.4517374517374517,1.685320145757418
SAN YSIDRO,"[0, 1)",9380,0.0,692,1202.0,0.07377398720682303,0.06865657220824277,0.07924038291512593,0.1281449893390192,52.97938435470206
SAN YSIDRO,"[1, 2)",2790,1.4,339,599.0,0.12150537634408602,0.10989966827895137,0.13415196299463264,0.21469534050179212,15.758260378424174
SAN YSIDRO,"[2, 3)",1472,2.4,197,354.0,0.13383152173913043,0.11738785382277284,0.15218145497025753,0.24048913043478262,8.314035583168597
SAN YSIDRO,"[3, 5)",1707,3.7,250,406.0,0.14645577035735208,0.13047687850760709,0.16402239015642356,0.23784417106033978,9.641344253035866
SAN YSIDRO,"[5, 7)",798,5.8,155,258.0,0.19423558897243107,0.16827839189006924,0.22312260301964856,0.3233082706766917,4.50720135554928
SAN YSIDRO,"[7, 10)",628,8.2,122,260.0,0.1942675159235669,0.1652209635571613,0.22703177826927115,0.4140127388535032,3.547020615645298
SAN YSIDRO,"[10, 15)",462,11.8,101,272.0,0.21861471861471862,0.18333086977205662,0.258539499898664,0.5887445887445888,2.6094323637390566
SAN YSIDRO,"[15, 20)",212,17.4,57,172.0,0.2688679245283019,0.2136886320493731,0.3322747040267124,0.8113207547169812,1.1974018638802597
SAN YSIDRO,"[20, 30)",145,23.9,41,135.0,0.2827586206896552,0.21579934714746768,0.3609318892810576,0.9310344827586207,0.8189776899181023
SAN YSIDRO,"[30, 50)",68,34.3,30,76.0,0.4411764705882353,0.329460449863809,0.559183455617138,1.1176470588235294,0.38407229596159276
SAN YSIDRO,"[50, 100)",35,65.8,18,95.0,0.5142857142857142,0.35568539626711626,0.6700601960874726,2.7142857142857144,0.1976842699802316
SAN YSIDRO,"[100, 10000)",8,110.3,4,23.0,0.5,0.21521252682444186,0.7847874731755582,2.875,0.045184975995481505
IB CIVIC CTR,"[0, 1)",6311,0.6,454,584.0,0.07193788623039138,0.06582000261495055,0.07857658842543278,0.09253684043733164,51.13019525236977
IB CIVIC CTR,"[1, 2)",3165,1.2,273,387.0,0.08625592417061612,0.07696974201171317,0.09654527369623517,0.12227488151658768,25.64206432795917
IB CIVIC CTR,"[2, 3)",1024,2.4,147,211.0,0.1435546875,0.1234091768364291,0.1663646560187501,0.2060546875,8.296200275459775
IB CIVIC CTR,"[3, 5)",836,3.7,159,245.0,0.1901913875598086,0.16502807642274844,0.2181889492640001,0.2930622009569378,6.773069756137081
IB CIVIC CTR,"[5, 7)",328,5.8,99,165.0,0.3018292682926829,0.2546786696543336,0.35356815654226137,0.5030487804878049,2.6573766507332093
IB CIVIC CTR,"[7, 10)",216,8.1,72,130.0,0.3333333333333333,0.2738623860114152,0.39862908057179747,0.6018518518518519,1.7499797456047963
IB CIVIC CTR,"[10, 15)",175,11.8,74,159.0,0.4228571428571429,0.35209162466010924,0.4969367893106895,0.9085714285714286,1.4178076642631452
IB CIVIC CTR,"[15, 20)",81,16.8,39,88.0,0.48148148148148145,0.37599458014162646,0.5886454077888226,1.0864197530864197,0.6562424046017986
IB CIVIC CTR,"[20, 30)",84,24.3,44,105.0,0.5238095238095238,0.41831918439941584,0.6272173267752441,1.25,0.6805476788463096
IB CIVIC CTR,"[30, 50)",67,36.4,44,95.0,0.6567164179104478,0.5373244120046358,0.7591115804066028,1.4179104477611941,0.5428177914607469
IB CIVIC CTR,"[50, 100)",38,62.6,26,86.0,0.6842105263157895,0.5254394356005149,0.8091557997633335,2.263157894736842,0.3078668070971401
IB CIVIC CTR,"[100, 10000)",18,129.75,16,48.0,0.8888888888888888,0.6719975513339578,0.9689811315464172,2.6666666666666665,0.14583164546706634
