night_hour,n,gt5,gt10,gt30
0,615,0.65,0.16,0.0
1,624,0.8,0.16,0.0
2,627,0.8,0.0,0.0
3,629,1.11,0.16,0.0
4,634,2.21,0.47,0.16
5,641,8.74,3.74,0.47
6,646,14.24,6.97,1.24
7,650,21.85,11.38,4.0
8,652,27.76,17.02,6.13
9,651,29.8,17.82,8.6
10,651,32.57,20.74,11.06
11,650,35.54,22.77,12.92
12,651,35.02,23.66,13.06
13,651,35.64,23.66,12.44
14,651,36.25,23.66,11.98
15,651,35.18,23.04,9.83
16,651,33.33,22.27,10.14
17,651,35.64,22.43,7.22
18,651,33.95,19.51,5.68
19,648,29.63,13.27,3.55
20,637,19.31,7.69,1.73
21,623,8.83,2.25,0.32
22,617,3.73,0.32,0.16
23,616,1.79,0.49,0.0
