threshold_ppb,night_hour,month,pct_exceeding,local_hour
5.0,0,1,0.0,12
5.0,0,2,0.0,12
5.0,0,3,4.0,12
5.0,0,4,0.0,12
5.0,0,5,1.7543859649122806,12
5.0,0,6,0.0,12
5.0,0,7,0.0,12
5.0,0,8,0.0,12
5.0,0,9,0.0,12
5.0,0,10,0.0,12
5.0,0,11,0.0,12
5.0,0,12,1.694915254237288,12
5.0,1,1,0.0,13
5.0,1,2,0.0,13
5.0,1,3,3.8461538461538463,13
5.0,1,4,0.0,13
5.0,1,5,3.4482758620689653,13
5.0,1,6,0.0,13
5.0,1,7,0.0,13
5.0,1,8,0.0,13
5.0,1,9,0.0,13
5.0,1,10,0.0,13
5.0,1,11,0.0,13
5.0,1,12,1.694915254237288,13
5.0,2,1,0.0,14
5.0,2,2,0.0,14
5.0,2,3,2.0,14
5.0,2,4,3.4482758620689653,14
5.0,2,5,1.7241379310344827,14
5.0,2,6,0.0,14
5.0,2,7,0.0,14
5.0,2,8,0.0,14
5.0,2,9,0.0,14
5.0,2,10,0.0,14
5.0,2,11,0.0,14
5.0,2,12,1.6666666666666667,14
5.0,3,1,0.0,15
5.0,3,2,4.081632653061225,15
5.0,3,3,3.8461538461538463,15
5.0,3,4,1.694915254237288,15
5.0,3,5,0.0,15
5.0,3,6,0.0,15
5.0,3,7,0.0,15
5.0,3,8,0.0,15
5.0,3,9,0.0,15
5.0,3,10,0.0,15
5.0,3,11,0.0,15
5.0,3,12,3.3333333333333335,15
5.0,4,1,1.6666666666666667,16
5.0,4,2,4.081632653061225,16
5.0,4,3,3.8461538461538463,16
5.0,4,4,1.694915254237288,16
5.0,4,5,1.7241379310344827,16
5.0,4,6,0.0,16
5.0,4,7,0.0,16
5.0,4,8,0.0,16
5.0,4,9,0.0,16
5.0,4,10,0.0,16
5.0,4,11,1.6666666666666667,16
5.0,4,12,10.0,16
5.0,5,1,18.333333333333332,17
5.0,5,2,24.489795918367346,17
5.0,5,3,5.555555555555555,17
5.0,5,4,1.694915254237288,17
5.0,5,5,1.7241379310344827,17
5.0,5,6,0.0,17
5.0,5,7,0.0,17
5.0,5,8,0.0,17
5.0,5,9,0.0,17
5.0,5,10,0.0,17
5.0,5,11,11.666666666666666,17
5.0,5,12,34.42622950819672,17
5.0,6,1,35.0,18
5.0,6,2,28.57142857142857,18
5.0,6,3,24.074074074074073,18
5.0,6,4,1.694915254237288,18
5.0,6,5,0.0,18
5.0,6,6,0.0,18
5.0,6,7,0.0,18
5.0,6,8,0.0,18
5.0,6,9,0.0,18
5.0,6,10,0.0,18
5.0,6,11,18.333333333333332,18
5.0,6,12,52.459016393442624,18
5.0,7,1,49.18032786885246,19
5.0,7,2,38.0,19
5.0,7,3,36.36363636363637,19
5.0,7,4,15.254237288135593,19
5.0,7,5,3.278688524590164,19
5.0,7,6,0.0,19
5.0,7,7,0.0,19
5.0,7,8,0.0,19
5.0,7,9,0.0,19
5.0,7,10,7.4074074074074066,19
5.0,7,11,33.33333333333333,19
5.0,7,12,62.295081967213115,19
5.0,8,1,36.0655737704918,20
5.0,8,2,46.0,20
5.0,8,3,50.0,20
5.0,8,4,35.59322033898305,20
5.0,8,5,16.39344262295082,20
5.0,8,6,5.084745762711865,20
5.0,8,7,0.0,20
5.0,8,8,0.0,20
5.0,8,9,0.0,20
5.0,8,10,22.22222222222222,20
5.0,8,11,35.0,20
5.0,8,12,67.21311475409836,20
5.0,9,1,36.0655737704918,21
5.0,9,2,50.0,21
5.0,9,3,62.5,21
5.0,9,4,55.932203389830505,21
5.0,9,5,29.508196721311474,21
5.0,9,6,6.779661016949152,21
5.0,9,7,1.6129032258064515,21
5.0,9,8,1.8518518518518516,21
5.0,9,9,0.0,21
5.0,9,10,33.33333333333333,21
5.0,9,11,16.666666666666664,21
5.0,9,12,44.26229508196721,21
5.0,10,1,27.86885245901639,22
5.0,10,2,50.0,22
5.0,10,3,66.07142857142857,22
5.0,10,4,66.10169491525424,22
5.0,10,5,40.98360655737705,22
5.0,10,6,16.94915254237288,22
5.0,10,7,3.225806451612903,22
5.0,10,8,1.8518518518518516,22
5.0,10,9,14.285714285714285,22
5.0,10,10,25.925925925925924,22
5.0,10,11,21.666666666666668,22
5.0,10,12,44.26229508196721,22
5.0,11,1,28.333333333333332,23
5.0,11,2,48.0,23
5.0,11,3,64.28571428571429,23
5.0,11,4,72.88135593220339,23
5.0,11,5,54.09836065573771,23
5.0,11,6,27.11864406779661,23
5.0,11,7,6.451612903225806,23
5.0,11,8,5.555555555555555,23
5.0,11,9,21.428571428571427,23
5.0,11,10,29.629629629629626,23
5.0,11,11,23.333333333333332,23
5.0,11,12,36.0655737704918,23
5.0,12,1,32.78688524590164,0
5.0,12,2,44.89795918367347,0
5.0,12,3,55.35714285714286,0
5.0,12,4,79.66101694915254,0
5.0,12,5,54.09836065573771,0
5.0,12,6,20.33898305084746,0
5.0,12,7,9.67741935483871,0
5.0,12,8,11.11111111111111,0
5.0,12,9,13.333333333333334,0
5.0,12,10,25.925925925925924,0
5.0,12,11,20.0,0
5.0,12,12,37.704918032786885,0
5.0,13,1,29.508196721311474,1
5.0,13,2,44.89795918367347,1
5.0,13,3,53.57142857142857,1
5.0,13,4,71.1864406779661,1
5.0,13,5,62.295081967213115,1
5.0,13,6,28.8135593220339,1
5.0,13,7,11.29032258064516,1
5.0,13,8,11.320754716981133,1
5.0,13,9,20.0,1
5.0,13,10,23.636363636363637,1
5.0,13,11,26.666666666666668,1
5.0,13,12,32.78688524590164,1
5.0,14,1,27.86885245901639,2
5.0,14,2,40.816326530612244,2
5.0,14,3,48.214285714285715,2
5.0,14,4,74.57627118644068,2
5.0,14,5,62.295081967213115,2
5.0,14,6,33.89830508474576,2
5.0,14,7,19.35483870967742,2
5.0,14,8,15.09433962264151,2
5.0,14,9,20.0,2
5.0,14,10,12.727272727272727,2
5.0,14,11,31.666666666666664,2
5.0,14,12,34.42622950819672,2
5.0,15,1,29.508196721311474,3
5.0,15,2,36.734693877551024,3
5.0,15,3,37.5,3
5.0,15,4,59.32203389830508,3
5.0,15,5,65.57377049180327,3
5.0,15,6,33.89830508474576,3
5.0,15,7,24.193548387096776,3
5.0,15,8,13.20754716981132,3
5.0,15,9,26.666666666666668,3
5.0,15,10,27.27272727272727,3
5.0,15,11,28.333333333333332,3
5.0,15,12,31.147540983606557,3
5.0,16,1,24.59016393442623,4
5.0,16,2,40.816326530612244,4
5.0,16,3,33.92857142857143,4
5.0,16,4,61.016949152542374,4
5.0,16,5,67.21311475409836,4
5.0,16,6,32.20338983050847,4
5.0,16,7,17.741935483870968,4
5.0,16,8,11.320754716981133,4
5.0,16,9,20.0,4
5.0,16,10,21.818181818181817,4
5.0,16,11,28.333333333333332,4
5.0,16,12,29.508196721311474,4
5.0,17,1,21.311475409836063,5
5.0,17,2,38.775510204081634,5
5.0,17,3,37.5,5
5.0,17,4,59.32203389830508,5
5.0,17,5,60.65573770491803,5
5.0,17,6,42.3728813559322,5
5.0,17,7,19.35483870967742,5
5.0,17,8,15.09433962264151,5
5.0,17,9,20.0,5
5.0,17,10,30.909090909090907,5
5.0,17,11,28.333333333333332,5
5.0,17,12,40.98360655737705,5
5.0,18,1,18.0327868852459,6
5.0,18,2,40.816326530612244,6
5.0,18,3,41.07142857142857,6
5.0,18,4,52.54237288135594,6
5.0,18,5,52.459016393442624,6
5.0,18,6,37.28813559322034,6
5.0,18,7,17.741935483870968,6
5.0,18,8,16.9811320754717,6
5.0,18,9,26.666666666666668,6
5.0,18,10,34.54545454545455,6
5.0,18,11,30.0,6
5.0,18,12,34.42622950819672,6
5.0,19,1,21.666666666666668,7
5.0,19,2,35.41666666666667,7
5.0,19,3,45.45454545454545,7
5.0,19,4,40.67796610169492,7
5.0,19,5,34.42622950819672,7
5.0,19,6,22.033898305084744,7
5.0,19,7,9.67741935483871,7
5.0,19,8,18.867924528301888,7
5.0,19,9,40.0,7
5.0,19,10,32.72727272727273,7
5.0,19,11,25.0,7
5.0,19,12,39.34426229508197,7
5.0,20,1,28.333333333333332,8
5.0,20,2,27.659574468085108,8
5.0,20,3,35.84905660377358,8
5.0,20,4,23.728813559322035,8
5.0,20,5,15.0,8
5.0,20,6,6.896551724137931,8
5.0,20,7,1.6666666666666667,8
5.0,20,8,1.8867924528301887,8
5.0,20,9,7.6923076923076925,8
5.0,20,10,21.818181818181817,8
5.0,20,11,15.0,8
5.0,20,12,38.983050847457626,8
5.0,21,1,5.172413793103448,9
5.0,21,2,17.391304347826086,9
5.0,21,3,20.754716981132077,9
5.0,21,4,10.344827586206897,9
5.0,21,5,8.620689655172415,9
5.0,21,6,1.8181818181818181,9
5.0,21,7,0.0,9
5.0,21,8,0.0,9
5.0,21,9,0.0,9
5.0,21,10,9.090909090909092,9
5.0,21,11,6.779661016949152,9
5.0,21,12,20.689655172413794,9
5.0,22,1,3.508771929824561,10
5.0,22,2,2.1739130434782608,10
5.0,22,3,9.615384615384617,10
5.0,22,4,8.771929824561402,10
5.0,22,5,3.508771929824561,10
5.0,22,6,0.0,10
5.0,22,7,0.0,10
5.0,22,8,0.0,10
5.0,22,9,0.0,10
5.0,22,10,0.0,10
5.0,22,11,3.4482758620689653,10
5.0,22,12,10.344827586206897,10
5.0,23,1,1.7241379310344827,11
5.0,23,2,2.127659574468085,11
5.0,23,3,3.8461538461538463,11
5.0,23,4,3.571428571428571,11
5.0,23,5,1.7857142857142856,11
5.0,23,6,0.0,11
5.0,23,7,0.0,11
5.0,23,8,0.0,11
5.0,23,9,0.0,11
5.0,23,10,0.0,11
5.0,23,11,3.4482758620689653,11
5.0,23,12,3.389830508474576,11
10.0,0,1,0.0,12
10.0,0,2,0.0,12
10.0,0,3,2.0,12
10.0,0,4,0.0,12
10.0,0,5,0.0,12
10.0,0,6,0.0,12
10.0,0,7,0.0,12
10.0,0,8,0.0,12
10.0,0,9,0.0,12
10.0,0,10,0.0,12
10.0,0,11,0.0,12
10.0,0,12,0.0,12
10.0,1,1,0.0,13
10.0,1,2,0.0,13
10.0,1,3,0.0,13
10.0,1,4,0.0,13
10.0,1,5,0.0,13
10.0,1,6,0.0,13
10.0,1,7,0.0,13
10.0,1,8,0.0,13
10.0,1,9,0.0,13
10.0,1,10,0.0,13
10.0,1,11,0.0,13
10.0,1,12,1.694915254237288,13
10.0,2,1,0.0,14
10.0,2,2,0.0,14
10.0,2,3,0.0,14
10.0,2,4,0.0,14
10.0,2,5,0.0,14
10.0,2,6,0.0,14
10.0,2,7,0.0,14
10.0,2,8,0.0,14
10.0,2,9,0.0,14
10.0,2,10,0.0,14
10.0,2,11,0.0,14
10.0,2,12,0.0,14
10.0,3,1,0.0,15
10.0,3,2,0.0,15
10.0,3,3,0.0,15
10.0,3,4,0.0,15
10.0,3,5,0.0,15
10.0,3,6,0.0,15
10.0,3,7,0.0,15
10.0,3,8,0.0,15
10.0,3,9,0.0,15
10.0,3,10,0.0,15
10.0,3,11,0.0,15
10.0,3,12,1.6666666666666667,15
10.0,4,1,1.6666666666666667,16
10.0,4,2,2.0408163265306123,16
10.0,4,3,0.0,16
10.0,4,4,0.0,16
10.0,4,5,0.0,16
10.0,4,6,0.0,16
10.0,4,7,0.0,16
10.0,4,8,0.0,16
10.0,4,9,0.0,16
10.0,4,10,0.0,16
10.0,4,11,0.0,16
10.0,4,12,1.6666666666666667,16
10.0,5,1,6.666666666666667,17
10.0,5,2,14.285714285714285,17
10.0,5,3,1.8518518518518516,17
10.0,5,4,0.0,17
10.0,5,5,1.7241379310344827,17
10.0,5,6,0.0,17
10.0,5,7,0.0,17
10.0,5,8,0.0,17
10.0,5,9,0.0,17
10.0,5,10,0.0,17
10.0,5,11,1.6666666666666667,17
10.0,5,12,16.39344262295082,17
10.0,6,1,13.333333333333334,18
10.0,6,2,14.285714285714285,18
10.0,6,3,12.962962962962962,18
10.0,6,4,0.0,18
10.0,6,5,0.0,18
10.0,6,6,0.0,18
10.0,6,7,0.0,18
10.0,6,8,0.0,18
10.0,6,9,0.0,18
10.0,6,10,0.0,18
10.0,6,11,6.666666666666667,18
10.0,6,12,31.147540983606557,18
10.0,7,1,21.311475409836063,19
10.0,7,2,24.0,19
10.0,7,3,27.27272727272727,19
10.0,7,4,6.779661016949152,19
10.0,7,5,1.639344262295082,19
10.0,7,6,0.0,19
10.0,7,7,0.0,19
10.0,7,8,0.0,19
10.0,7,9,0.0,19
10.0,7,10,0.0,19
10.0,7,11,10.0,19
10.0,7,12,37.704918032786885,19
10.0,8,1,19.672131147540984,20
10.0,8,2,32.0,20
10.0,8,3,33.92857142857143,20
10.0,8,4,28.8135593220339,20
10.0,8,5,4.918032786885246,20
10.0,8,6,1.694915254237288,20
10.0,8,7,0.0,20
10.0,8,8,0.0,20
10.0,8,9,0.0,20
10.0,8,10,11.11111111111111,20
10.0,8,11,15.0,20
10.0,8,12,45.90163934426229,20
10.0,9,1,14.754098360655737,21
10.0,9,2,28.000000000000004,21
10.0,9,3,48.214285714285715,21
10.0,9,4,47.45762711864407,21
10.0,9,5,9.836065573770492,21
10.0,9,6,1.694915254237288,21
10.0,9,7,0.0,21
10.0,9,8,0.0,21
10.0,9,9,0.0,21
10.0,9,10,12.962962962962962,21
10.0,9,11,11.666666666666666,21
10.0,9,12,27.86885245901639,21
10.0,10,1,16.39344262295082,22
10.0,10,2,36.0,22
10.0,10,3,46.42857142857143,22
10.0,10,4,55.932203389830505,22
10.0,10,5,27.86885245901639,22
10.0,10,6,10.16949152542373,22
10.0,10,7,1.6129032258064515,22
10.0,10,8,0.0,22
10.0,10,9,0.0,22
10.0,10,10,11.11111111111111,22
10.0,10,11,10.0,22
10.0,10,12,19.672131147540984,22
10.0,11,1,13.333333333333334,23
10.0,11,2,32.0,23
10.0,11,3,48.214285714285715,23
10.0,11,4,62.71186440677966,23
10.0,11,5,39.34426229508197,23
10.0,11,6,16.94915254237288,23
10.0,11,7,1.6129032258064515,23
10.0,11,8,1.8518518518518516,23
10.0,11,9,0.0,23
10.0,11,10,5.555555555555555,23
10.0,11,11,13.333333333333334,23
10.0,11,12,21.311475409836063,23
10.0,12,1,11.475409836065573,0
10.0,12,2,34.69387755102041,0
10.0,12,3,39.285714285714285,0
10.0,12,4,59.32203389830508,0
10.0,12,5,47.540983606557376,0
10.0,12,6,13.559322033898304,0
10.0,12,7,6.451612903225806,0
10.0,12,8,0.0,0
10.0,12,9,6.666666666666667,0
10.0,12,10,9.25925925925926,0
10.0,12,11,16.666666666666664,0
10.0,12,12,26.229508196721312,0
10.0,13,1,14.754098360655737,1
10.0,13,2,36.734693877551024,1
10.0,13,3,39.285714285714285,1
10.0,13,4,61.016949152542374,1
10.0,13,5,50.81967213114754,1
10.0,13,6,15.254237288135593,1
10.0,13,7,11.29032258064516,1
10.0,13,8,5.660377358490567,1
10.0,13,9,0.0,1
10.0,13,10,7.2727272727272725,1
10.0,13,11,6.666666666666667,1
10.0,13,12,18.0327868852459,1
10.0,14,1,18.0327868852459,2
10.0,14,2,24.489795918367346,2
10.0,14,3,30.357142857142854,2
10.0,14,4,54.23728813559322,2
10.0,14,5,49.18032786885246,2
10.0,14,6,22.033898305084744,2
10.0,14,7,12.903225806451612,2
10.0,14,8,3.7735849056603774,2
10.0,14,9,13.333333333333334,2
10.0,14,10,9.090909090909092,2
10.0,14,11,15.0,2
10.0,14,12,21.311475409836063,2
10.0,15,1,16.39344262295082,3
10.0,15,2,22.448979591836736,3
10.0,15,3,28.57142857142857,3
10.0,15,4,47.45762711864407,3
10.0,15,5,50.81967213114754,3
10.0,15,6,16.94915254237288,3
10.0,15,7,19.35483870967742,3
10.0,15,8,7.547169811320755,3
10.0,15,9,13.333333333333334,3
10.0,15,10,10.909090909090908,3
10.0,15,11,13.333333333333334,3
10.0,15,12,19.672131147540984,3
10.0,16,1,11.475409836065573,4
10.0,16,2,24.489795918367346,4
10.0,16,3,26.785714285714285,4
10.0,16,4,50.847457627118644,4
10.0,16,5,52.459016393442624,4
10.0,16,6,20.33898305084746,4
10.0,16,7,12.903225806451612,4
10.0,16,8,7.547169811320755,4
10.0,16,9,13.333333333333334,4
10.0,16,10,14.545454545454545,4
10.0,16,11,13.333333333333334,4
10.0,16,12,11.475409836065573,4
10.0,17,1,8.19672131147541,5
10.0,17,2,26.53061224489796,5
10.0,17,3,30.357142857142854,5
10.0,17,4,47.45762711864407,5
10.0,17,5,45.90163934426229,5
10.0,17,6,25.423728813559322,5
10.0,17,7,11.29032258064516,5
10.0,17,8,11.320754716981133,5
10.0,17,9,13.333333333333334,5
10.0,17,10,16.363636363636363,5
10.0,17,11,16.666666666666664,5
10.0,17,12,9.836065573770492,5
10.0,18,1,8.19672131147541,6
10.0,18,2,18.367346938775512,6
10.0,18,3,26.785714285714285,6
10.0,18,4,38.983050847457626,6
10.0,18,5,34.42622950819672,6
10.0,18,6,25.423728813559322,6
10.0,18,7,12.903225806451612,6
10.0,18,8,7.547169811320755,6
10.0,18,9,20.0,6
10.0,18,10,18.181818181818183,6
10.0,18,11,11.666666666666666,6
10.0,18,12,11.475409836065573,6
10.0,19,1,6.666666666666667,7
10.0,19,2,10.416666666666668,7
10.0,19,3,29.09090909090909,7
10.0,19,4,23.728813559322035,7
10.0,19,5,16.39344262295082,7
10.0,19,6,1.694915254237288,7
10.0,19,7,4.838709677419355,7
10.0,19,8,9.433962264150944,7
10.0,19,9,26.666666666666668,7
10.0,19,10,18.181818181818183,7
10.0,19,11,11.666666666666666,7
10.0,19,12,11.475409836065573,7
10.0,20,1,8.333333333333332,8
10.0,20,2,4.25531914893617,8
10.0,20,3,26.41509433962264,8
10.0,20,4,13.559322033898304,8
10.0,20,5,3.3333333333333335,8
10.0,20,6,1.7241379310344827,8
10.0,20,7,1.6666666666666667,8
10.0,20,8,1.8867924528301887,8
10.0,20,9,0.0,8
10.0,20,10,7.2727272727272725,8
10.0,20,11,5.0,8
10.0,20,12,13.559322033898304,8
10.0,21,1,1.7241379310344827,9
10.0,21,2,4.3478260869565215,9
10.0,21,3,11.320754716981133,9
10.0,21,4,0.0,9
10.0,21,5,0.0,9
