year_month,n_hours,pct_gt5,pct_gt30,median_h2s,p95_h2s,mean_temp,mean_wind,mean_humidity,frac_stable,month,year
2024-10,275,38.182,3.273,3.4,22.87,15.852,4.983,81.696,0.538,10,2024
2024-11,361,36.842,1.939,3.6,20.2,12.286,5.185,65.471,0.51,11,2024
2024-12,372,43.548,4.57,4.2,28.475,11.064,3.182,76.19,0.763,12,2024
2025-01,360,32.5,3.333,3.0,21.34,10.256,5.829,55.848,0.444,1,2025
2025-02,336,41.071,10.714,3.9,51.175,11.735,5.027,84.632,0.583,2,2025
2025-03,371,33.962,10.243,2.4,48.85,11.763,7.094,83.813,0.45,3,2025
2025-04,360,61.944,26.944,8.7,180.285,12.947,4.272,82.425,0.628,4,2025
2025-05,360,58.056,19.444,6.85,190.225,15.27,4.531,83.482,0.531,5,2025
2025-06,348,25.287,2.011,1.7,16.995,16.69,4.31,86.188,0.517,6,2025
2025-07,372,8.333,2.957,0.95,9.78,17.868,4.143,85.739,0.556,7,2025
2025-08,372,13.71,1.075,1.6,11.345,18.94,3.207,87.85,0.78,8,2025
2025-09,177,19.774,3.39,1.6,18.94,19.214,3.132,91.304,0.757,9,2025
2025-10,372,17.473,0.0,1.8,13.095,16.093,3.879,84.711,0.696,10,2025
2025-11,361,14.681,3.601,1.4,17.2,13.566,4.586,86.825,0.632,11,2025
2025-12,360,36.944,7.5,3.4,45.505,12.682,4.761,75.094,0.603,12,2025
2026-01,370,22.973,4.595,2.8,25.48,12.053,4.919,72.461,0.557,1,2026
2026-02,263,42.205,10.266,3.3,104.33,12.671,5.972,76.512,0.475,2,2026
2026-03,290,70.69,35.517,11.5,205.565,15.178,3.371,78.803,0.741,3,2026
2026-04,348,60.345,37.069,11.0,215.395,15.175,4.255,81.641,0.592,4,2026
2026-05,372,40.86,13.71,3.4,66.635,16.055,5.049,79.521,0.441,5,2026
2026-06,360,28.889,9.444,1.65,68.255,17.365,4.738,83.429,0.433,6,2026
2026-07,372,15.323,4.839,1.45,27.355,19.761,4.006,84.998,0.54,7,2026
2026-08,277,4.332,0.0,1.3,4.8,21.087,3.584,86.079,0.715,8,2026
