month,n_hours,pct_gt5,pct_gt30,median,p95,temp,wind,stable
1,730,27.7,4.0,2.8,22.7,11.17,5.37,0.5
2,599,41.6,10.5,3.7,62.5,12.15,5.44,0.54
3,661,50.1,21.3,5.1,135.3,13.26,5.46,0.58
4,708,61.2,31.9,9.5,203.4,14.04,4.26,0.61
5,732,49.3,16.5,4.9,136.2,15.67,4.79,0.48
6,708,27.1,5.8,1.7,36.6,17.03,4.53,0.47
7,744,11.8,3.9,1.2,17.5,18.81,4.07,0.55
8,649,9.7,0.6,1.5,8.6,19.86,3.37,0.75
9,177,19.8,3.4,1.6,18.9,19.21,3.13,0.76
10,647,26.3,1.4,2.4,17.9,15.99,4.35,0.63
11,722,25.8,2.8,2.3,19.2,12.93,4.89,0.57
12,732,40.3,6.0,3.9,40.9,11.86,3.96,0.68
