product,variant,threshold,lead_hour,prob_recall,n
forecast,evidence,5,7,0.326,20640
forecast,evidence,5,8,0.255,20640
forecast,evidence,5,9,0.231,20640
forecast,evidence,5,10,0.375,20640
forecast,evidence,5,11,0.262,20640
forecast,evidence,5,12,0.359,20640
forecast,evidence,5,13,0.37,20640
forecast,evidence,5,14,0.408,20640
forecast,evidence,5,15,0.426,20640
forecast,evidence,5,16,0.383,20640
forecast,evidence,5,17,0.375,20640
forecast,evidence,5,18,0.365,20640
forecast,evidence,5,19,0.26,20640
forecast,evidence,5,20,0.298,20640
forecast,evidence,5,21,0.295,20640
forecast,evidence,5,22,0.224,20640
forecast,evidence,5,23,0.31,20640
forecast,evidence,5,24,0.39,20640
forecast,evidence,10,7,0.095,20640
forecast,evidence,10,8,0.087,20640
forecast,evidence,10,9,0.0,20640
forecast,evidence,10,10,0.0,20640
forecast,evidence,10,11,0.0,20640
forecast,evidence,10,12,0.0,20640
forecast,evidence,10,13,0.048,20640
forecast,evidence,10,14,0.103,20640
forecast,evidence,10,15,0.0,20640
forecast,evidence,10,16,0.08,20640
forecast,evidence,10,17,0.133,20640
forecast,evidence,10,18,0.026,20640
forecast,evidence,10,19,0.088,20640
forecast,evidence,10,20,0.045,20640
forecast,evidence,10,21,0.025,20640
forecast,evidence,10,22,0.031,20640
forecast,evidence,10,23,0.0,20640
forecast,evidence,10,24,0.033,20640
forecast,evidence,30,7,0.0,20640
forecast,evidence,30,8,0.0,20640
forecast,evidence,30,9,0.0,20640
forecast,evidence,30,10,0.0,20640
forecast,evidence,30,11,0.0,20640
forecast,evidence,30,12,0.0,20640
forecast,evidence,30,13,0.0,20640
forecast,evidence,30,14,0.0,20640
forecast,evidence,30,15,0.0,20640
forecast,evidence,30,16,0.0,20640
forecast,evidence,30,17,0.0,20640
forecast,evidence,30,18,0.0,20640
forecast,evidence,30,19,0.0,20640
forecast,evidence,30,20,0.0,20640
forecast,evidence,30,21,0.0,20640
forecast,evidence,30,22,0.0,20640
forecast,evidence,30,23,0.0,20640
forecast,evidence,30,24,0.0,20640
forecast,lean,5,7,0.442,20640
forecast,lean,5,8,0.362,20640
forecast,lean,5,9,0.333,20640
forecast,lean,5,10,0.25,20640
forecast,lean,5,11,0.19,20640
forecast,lean,5,12,0.333,20640
forecast,lean,5,13,0.185,20640
forecast,lean,5,14,0.132,20640
forecast,lean,5,15,0.082,20640
forecast,lean,5,16,0.05,20640
forecast,lean,5,17,0.153,20640
forecast,lean,5,18,0.111,20640
forecast,lean,5,19,0.192,20640
forecast,lean,5,20,0.119,20640
forecast,lean,5,21,0.164,20640
forecast,lean,5,22,0.119,20640
forecast,lean,5,23,0.141,20640
forecast,lean,5,24,0.169,20640
forecast,lean,10,7,0.19,20640
forecast,lean,10,8,0.217,20640
forecast,lean,10,9,0.048,20640
forecast,lean,10,10,0.143,20640
forecast,lean,10,11,0.045,20640
forecast,lean,10,12,0.095,20640
forecast,lean,10,13,0.048,20640
forecast,lean,10,14,0.103,20640
forecast,lean,10,15,0.0,20640
forecast,lean,10,16,0.04,20640
forecast,lean,10,17,0.0,20640
forecast,lean,10,18,0.026,20640
forecast,lean,10,19,0.0,20640
forecast,lean,10,20,0.0,20640
forecast,lean,10,21,0.0,20640
forecast,lean,10,22,0.0,20640
forecast,lean,10,23,0.0,20640
forecast,lean,10,24,0.0,20640
forecast,lean,30,7,0.0,20640
forecast,lean,30,8,0.0,20640
forecast,lean,30,9,0.0,20640
forecast,lean,30,10,0.0,20640
forecast,lean,30,11,0.0,20640
forecast,lean,30,12,0.0,20640
forecast,lean,30,13,0.0,20640
forecast,lean,30,14,0.0,20640
forecast,lean,30,15,0.0,20640
forecast,lean,30,16,0.0,20640
forecast,lean,30,17,0.0,20640
forecast,lean,30,18,0.0,20640
forecast,lean,30,19,0.0,20640
forecast,lean,30,20,0.0,20640
forecast,lean,30,21,0.0,20640
forecast,lean,30,22,0.0,20640
forecast,lean,30,23,0.0,20640
forecast,lean,30,24,0.0,20640
nearcast,evidence,5,4,0.289,3399
nearcast,evidence,5,5,0.224,3399
nearcast,evidence,5,6,0.333,3399
nearcast,evidence,10,4,0.062,3399
nearcast,evidence,10,5,0.0,3399
nearcast,evidence,10,6,0.13,3399
nearcast,evidence,30,4,0.0,3399
nearcast,evidence,30,5,0.0,3399
nearcast,evidence,30,6,0.0,3399
nearcast,lean,5,4,0.342,3399
nearcast,lean,5,5,0.347,3399
nearcast,lean,5,6,0.5,3399
nearcast,lean,10,4,0.188,3399
nearcast,lean,10,5,0.174,3399
nearcast,lean,10,6,0.174,3399
nearcast,lean,30,4,0.0,3399
nearcast,lean,30,5,0.0,3399
nearcast,lean,30,6,0.0,3399
nowcast,evidence,5,1,0.34,3416
nowcast,evidence,5,2,0.283,3416
nowcast,evidence,5,3,0.244,3416
nowcast,evidence,10,1,0.25,3416
nowcast,evidence,10,2,0.2,3416
nowcast,evidence,10,3,0.077,3416
nowcast,evidence,30,1,0.0,3416
nowcast,evidence,30,2,0.0,3416
nowcast,evidence,30,3,0.0,3416
nowcast,lean,5,1,0.36,3416
nowcast,lean,5,2,0.396,3416
nowcast,lean,5,3,0.4,3416
nowcast,lean,10,1,0.375,3416
nowcast,lean,10,2,0.36,3416
nowcast,lean,10,3,0.269,3416
nowcast,lean,30,1,0.0,3416
nowcast,lean,30,2,0.0,3416
nowcast,lean,30,3,0.0,3416
